Pathway Code	Pathway Name	P-Value	Annotated
hsa04666	Fc gamma R-mediated phagocytosis - Homo sapiens (human)	0.013732818585451	82
hsa00480	Glutathione metabolism - Homo sapiens (human)	0.0142903288312388	46
hsa05150	Staphylococcus aureus infection - Homo sapiens (human)	0.0141831255501654	39
hsa05166	Human T-cell leukemia virus 1 infection - Homo sapiens (human)	0.0141937924571509	185
hsa04390	Hippo signaling pathway - Homo sapiens (human)	0.0145004722589729	127
hsa00790	Folate biosynthesis - Homo sapiens (human)	0.0151410376228136	19
hsa04934	Cushing syndrome - Homo sapiens (human)	0.0155040475862776	102
hsa04917	Prolactin signaling pathway - Homo sapiens (human)	0.0159941017706089	54
hsa04622	RIG-I-like receptor signaling pathway - Homo sapiens (human)	0.0172842538584817	51
hsa00670	One carbon pool by folate - Homo sapiens (human)	0.0177034533516951	16
hsa04022	cGMP-PKG signaling pathway - Homo sapiens (human)	0.0180455158223983	102
hsa04137	Mitophagy - animal - Homo sapiens (human)	0.0179919994454789	67
hsa05211	Renal cell carcinoma - Homo sapiens (human)	0.0196623383523298	63
hsa05231	Choline metabolism in cancer - Homo sapiens (human)	0.0197814986967204	84
hsa04550	Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)	0.0207451629219917	102
hsa05120	Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)	0.0209266205857977	60
hsa04658	Th1 and Th2 cell differentiation - Homo sapiens (human)	0.0213947814603164	63
hsa04725	Cholinergic synapse - Homo sapiens (human)	0.0216904976455263	62
hsa00220	Arginine biosynthesis - Homo sapiens (human)	0.0219484955791973	13
hsa04211	Longevity regulating pathway - Homo sapiens (human)	0.0225005075670817	74
hsa04540	Gap junction - Homo sapiens (human)	0.0241619813063424	66
hsa04630	JAK-STAT signaling pathway - Homo sapiens (human)	0.0245033006214677	93
hsa04913	Ovarian steroidogenesis - Homo sapiens (human)	0.0246422713760993	26
hsa05225	Hepatocellular carcinoma - Homo sapiens (human)	0.0247777519796383	140
hsa04068	FoxO signaling pathway - Homo sapiens (human)	0.0259073437317502	107
hsa05022	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)	0.0267603992463655	381
hsa05144	Malaria - Homo sapiens (human)	0.0270259161618698	29
hsa00592	alpha-Linolenic acid metabolism - Homo sapiens (human)	0.0299003953879318	14
hsa04914	Progesterone-mediated oocyte maturation - Homo sapiens (human)	0.0297753013897655	74
hsa05222	Small cell lung cancer - Homo sapiens (human)	0.0296283549272635	81
hsa00280	Valine, leucine and isoleucine degradation - Homo sapiens (human)	0.030373248389403	42
hsa04066	HIF-1 signaling pathway - Homo sapiens (human)	0.0316792567248403	86
hsa04612	Antigen processing and presentation - Homo sapiens (human)	0.0317745895808606	50
hsa04623	Cytosolic DNA-sensing pathway - Homo sapiens (human)	0.0318968215011467	43
hsa05320	Autoimmune thyroid disease - Homo sapiens (human)	0.0341253210818429	20
hsa00051	Fructose and mannose metabolism - Homo sapiens (human)	0.0345958511640947	27
hsa04978	Mineral absorption - Homo sapiens (human)	0.0344465306520266	37
hsa00590	Arachidonic acid metabolism - Homo sapiens (human)	0.0350272604106406	34
hsa04973	Carbohydrate digestion and absorption - Homo sapiens (human)	0.0368475154501562	25
hsa04142	Lysosome - Homo sapiens (human)	0.039050342486663	118
hsa04360	Axon guidance - Homo sapiens (human)	0.0390880351533664	144
hsa00240	Pyrimidine metabolism - Homo sapiens (human)	0.0428273628550612	44
hsa04925	Aldosterone synthesis and secretion - Homo sapiens (human)	0.0432112055330746	56
hsa04350	TGF-beta signaling pathway - Homo sapiens (human)	0.0441530391813924	67
hsa04930	Type II diabetes mellitus - Homo sapiens (human)	0.0454944187792528	27
hsa05330	Allograft rejection - Homo sapiens (human)	0.045482491544359	20
hsa04960	Aldosterone-regulated sodium reabsorption - Homo sapiens (human)	0.0465203703922944	26
hsa05214	Glioma - Homo sapiens (human)	0.04678973265276	62
hsa03010	Ribosome - Homo sapiens (human)	0.0488380225077015	126
hsa04919	Thyroid hormone signaling pathway - Homo sapiens (human)	0.0493683223691595	101
hsa04730	Long-term depression - Homo sapiens (human)	0.0499014516187389	45
hsa00232	Caffeine metabolism - Homo sapiens (human)	0.0514202011379946	3
hsa04261	Adrenergic signaling in cardiomyocytes - Homo sapiens (human)	0.0528940148852245	89
hsa00061	Fatty acid biosynthesis - Homo sapiens (human)	0.0535655486381351	14
hsa04726	Serotonergic synapse - Homo sapiens (human)	0.0542174976798164	60
hsa00983	Drug metabolism - other enzymes - Homo sapiens (human)	0.0571245715588347	49
hsa00380	Tryptophan metabolism - Homo sapiens (human)	0.06643772948904	26
hsa04910	Insulin signaling pathway - Homo sapiens (human)	0.0687291012961318	115
hsa04014	Ras signaling pathway - Homo sapiens (human)	0.0698939454882554	159
hsa00340	Histidine metabolism - Homo sapiens (human)	0.0737855427889227	14
hsa00630	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	0.0751449649335339	23
hsa04724	Glutamatergic synapse - Homo sapiens (human)	0.0752443100870514	61
hsa05217	Basal cell carcinoma - Homo sapiens (human)	0.0745192149600743	46
hsa00360	Phenylalanine metabolism - Homo sapiens (human)	0.0763871925547046	10
hsa04140	Autophagy - animal - Homo sapiens (human)	0.0841638709789382	132
hsa05030	Cocaine addiction - Homo sapiens (human)	0.0862213254524675	30
hsa04146	Peroxisome - Homo sapiens (human)	0.0892471596111857	69
hsa04720	Long-term potentiation - Homo sapiens (human)	0.0886654840970991	47
hsa05215	Prostate cancer - Homo sapiens (human)	0.088960249545012	85
hsa05208	Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)	0.0919391141497132	198
hsa00440	Phosphonate and phosphinate metabolism - Homo sapiens (human)	0.0937571763960487	6
hsa04114	Oocyte meiosis - Homo sapiens (human)	0.0981097968180247	92
hsa04964	Proximal tubule bicarbonate reclamation - Homo sapiens (human)	0.0991565388548037	13
hsa05223	Non-small cell lung cancer - Homo sapiens (human)	0.099484654930866	64
hsa04213	Longevity regulating pathway - multiple species - Homo sapiens (human)	0.107361899448684	50
hsa04141	Protein processing in endoplasmic reticulum - Homo sapiens (human)	0.112270154778353	158
hsa04728	Dopaminergic synapse - Homo sapiens (human)	0.112196383868363	86
hsa05110	Vibrio cholerae infection - Homo sapiens (human)	0.116505555784799	44
hsa04916	Melanogenesis - Homo sapiens (human)	0.118817250540966	70
hsa00053	Ascorbate and aldarate metabolism - Homo sapiens (human)	0.136173192887185	11
hsa00350	Tyrosine metabolism - Homo sapiens (human)	0.140806801981928	20
hsa04215	Apoptosis - multiple species - Homo sapiens (human)	0.146298845057312	27
hsa04974	Protein digestion and absorption - Homo sapiens (human)	0.156314967213059	44
hsa00520	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	0.170241452995342	42
hsa00740	Riboflavin metabolism - Homo sapiens (human)	0.169652867179106	7
hsa04152	AMPK signaling pathway - Homo sapiens (human)	0.169640883508866	99
hsa04977	Vitamin digestion and absorption - Homo sapiens (human)	0.16751077274805	15
hsa05032	Morphine addiction - Homo sapiens (human)	0.167931363763806	40
hsa04727	GABAergic synapse - Homo sapiens (human)	0.172212877122789	39
hsa00565	Ether lipid metabolism - Homo sapiens (human)	0.174822483803539	30
hsa04924	Renin secretion - Homo sapiens (human)	0.17516111593193	45
hsa00410	beta-Alanine metabolism - Homo sapiens (human)	0.176429094082689	24
hsa04150	mTOR signaling pathway - Homo sapiens (human)	0.193461581022411	133
hsa04713	Circadian entrainment - Homo sapiens (human)	0.193069503924543	52
