GO.ID	Term	Annotated	Raw.P.Value
GO:0047718	indanol dehydrogenase activity	3	0.00440
GO:0019834	phospholipase A2 inhibitor activity	5	0.00451
GO:0000254	C-4 methylsterol oxidase activity	3	0.00456
GO:0005525	GTP binding	288	0.00458
GO:0009922	fatty acid elongase activity	5	0.00462
GO:0102756	very-long-chain 3-ketoacyl-CoA synthase activity	5	0.00462
GO:1990948	ubiquitin ligase inhibitor activity	9	0.00475
GO:0004499	N,N-dimethylaniline monooxygenase activity	4	0.00484
GO:0043014	alpha-tubulin binding	36	0.00491
GO:0030169	low-density lipoprotein particle binding	9	0.00507
GO:0019825	oxygen binding	14	0.00512
GO:0106294	NADPH oxidase H202-forming activity	3	0.00544
GO:0005198	structural molecule activity	475	0.00547
GO:0019838	growth factor binding	94	0.00552
GO:0031683	G-protein beta/gamma-subunit complex binding	15	0.00562
GO:0055106	ubiquitin-protein transferase regulator activity	22	0.00579
GO:0005178	integrin binding	103	0.00605
GO:0008013	beta-catenin binding	72	0.00667
GO:0002020	protease binding	111	0.00708
GO:0004698	calcium-dependent protein kinase C activity	15	0.00749
GO:0001758	retinal dehydrogenase activity	5	0.00760
GO:0008035	high-density lipoprotein particle binding	7	0.00772
GO:0018479	benzaldehyde dehydrogenase (NAD+) activity	3	0.00788
GO:0015301	anion:anion antiporter activity	18	0.00849
GO:0098641	cadherin binding involved in cell-cell adhesion	17	0.00875
GO:0008271	secondary active sulfate transmembrane transporter activity	7	0.00879
GO:0005080	protein kinase C binding	43	0.00889
GO:0004896	cytokine receptor activity	43	0.00890
GO:0003924	GTPase activity	252	0.00931
GO:0005173	stem cell factor receptor binding	4	0.00945
GO:0005391	P-type sodium:potassium-exchanging ATPase activity	3	0.00959
GO:0001968	fibronectin binding	21	0.00979
GO:0072582	17-beta-hydroxysteroid dehydrogenase (NADP+) activity	9	0.00985
GO:0004957	prostaglandin E receptor activity	3	0.01071
GO:0004869	cysteine-type endopeptidase inhibitor activity	30	0.01102
GO:0008109	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase activity	3	0.01131
GO:0008330	protein tyrosine/threonine phosphatase activity	8	0.01149
GO:0032052	bile acid binding	7	0.01205
GO:0004465	lipoprotein lipase activity	4	0.01265
GO:0120170	intraciliary transport particle B binding	5	0.01315
GO:0031404	chloride ion binding	7	0.01338
GO:0005149	interleukin-1 receptor binding	11	0.01373
GO:0008970	phospholipase A1 activity	9	0.01379
GO:0005085	guanyl-nucleotide exchange factor activity	187	0.01385
GO:0045505	dynein intermediate chain binding	33	0.01392
GO:0045504	dynein heavy chain binding	12	0.01473
GO:0008392	arachidonic acid epoxygenase activity	9	0.01481
GO:0042605	peptide antigen binding	19	0.01525
GO:0042277	peptide binding	185	0.01539
GO:0090554	phosphatidylcholine floppase activity	6	0.01576
GO:0090433	palmitoyl-CoA ligase activity	3	0.01581
GO:0005001	transmembrane receptor protein tyrosine phosphatase activity	16	0.01662
GO:0003779	actin binding	324	0.01676
GO:0050839	cell adhesion molecule binding	455	0.01792
GO:0120019	phosphatidylcholine transfer activity	6	0.01802
GO:0043208	glycosphingolipid binding	7	0.01856
GO:0016213	linoleoyl-CoA desaturase activity	2	0.01899
GO:0004623	phospholipase A2 activity	18	0.01920
GO:0030197	extracellular matrix constituent, lubricant activity	3	0.01930
GO:0005539	glycosaminoglycan binding	124	0.01931
GO:0015111	iodide transmembrane transporter activity	3	0.02004
GO:0000248	C-5 sterol desaturase activity	2	0.02013
GO:0015026	coreceptor activity	26	0.02125
GO:0070492	oligosaccharide binding	6	0.02164
GO:0106293	NADH oxidase H202-forming activity	2	0.02193
GO:0005179	hormone activity	19	0.02232
GO:0004706	JUN kinase kinase kinase activity	12	0.02261
GO:0004713	protein tyrosine kinase activity	107	0.02295
GO:0004769	steroid delta-isomerase activity	2	0.02358
GO:0008022	protein C-terminus binding	163	0.02366
GO:0097100	supercoiled DNA binding	5	0.02391
GO:0005544	calcium-dependent phospholipid binding	33	0.02433
GO:0046977	TAP binding	8	0.02443
GO:0005153	interleukin-8 receptor binding	3	0.02477
GO:0023029	MHC class Ib protein binding	3	0.02491
GO:0045550	geranylgeranyl reductase activity	2	0.02516
GO:0047834	D-threo-aldose 1-dehydrogenase activity	9	0.02516
GO:0005262	calcium channel activity	59	0.02542
GO:0004683	calmodulin-dependent protein kinase activity	19	0.02608
GO:0001221	transcription coregulator binding	98	0.02628
GO:0030283	testosterone dehydrogenase [NAD(P)] activity	8	0.02683
GO:0047115	trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity	2	0.02685
GO:0005225	volume-sensitive anion channel activity	8	0.02704
GO:0005367	myo-inositol:sodium symporter activity	2	0.02747
GO:0005412	glucose:sodium symporter activity	2	0.02747
GO:0015150	fucose transmembrane transporter activity	2	0.02747
GO:0015146	pentose transmembrane transporter activity	2	0.02747
GO:0005261	cation channel activity	140	0.02760
GO:0045499	chemorepellent activity	22	0.02783
GO:0003828	alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity	3	0.02805
GO:0005524	ATP binding	1199	0.02837
GO:0005025	transforming growth factor beta receptor activity, type I	4	0.02850
GO:0031694	alpha-2A adrenergic receptor binding	4	0.02852
GO:0051959	dynein light intermediate chain binding	26	0.02863
GO:0032142	single guanine insertion binding	3	0.02874
GO:0005095	GTPase inhibitor activity	9	0.02889
GO:0019531	oxalate transmembrane transporter activity	5	0.02910
GO:0044325	ion channel binding	90	0.02939
GO:0046979	TAP2 binding	3	0.02941
GO:0015347	sodium-independent organic anion transmembrane transporter activity	5	0.02950
GO:0008083	growth factor activity	77	0.02967
GO:0008401	retinoic acid 4-hydroxylase activity	6	0.02991
GO:0035374	chondroitin sulfate binding	8	0.03008
GO:0047184	1-acylglycerophosphocholine O-acyltransferase activity	8	0.03015
GO:0004198	calcium-dependent cysteine-type endopeptidase activity	16	0.03047
GO:0106262	1-acylglycerophosphoethanolamine O-acyltransferase activity	4	0.03112
GO:0106263	1-acylglycerophosphoserine O-acyltransferase activity	4	0.03112
GO:0016404	15-hydroxyprostaglandin dehydrogenase (NAD+) activity	2	0.03122
GO:0004340	glucokinase activity	3	0.03127
GO:0019158	mannokinase activity	3	0.03127
GO:0008865	fructokinase activity	3	0.03127
GO:0031737	CX3C chemokine receptor binding	2	0.03148
GO:0008426	protein kinase C inhibitor activity	3	0.03192
GO:1902379	chemoattractant activity involved in axon guidance	2	0.03215
GO:0017147	Wnt-protein binding	19	0.03232
GO:0004127	cytidylate kinase activity	4	0.03248
GO:0090556	phosphatidylserine floppase activity	7	0.03335
GO:0034188	apolipoprotein A-I receptor activity	2	0.03352
GO:0008374	O-acyltransferase activity	39	0.03377
GO:0004708	MAP kinase kinase activity	16	0.03405
GO:0035035	histone acetyltransferase binding	20	0.03460
GO:0097677	STAT family protein binding	10	0.03462
GO:0031697	beta-1 adrenergic receptor binding	4	0.03488
GO:0004385	guanylate kinase activity	8	0.03501
GO:0015078	proton transmembrane transporter activity	91	0.03507
GO:1903763	gap junction channel activity involved in cell communication by electrical coupling	3	0.03559
GO:0052739	phosphatidylserine 1-acylhydrolase activity	7	0.03575
GO:0016165	linoleate 13S-lipoxygenase activity	2	0.03596
GO:0050473	arachidonate 15-lipoxygenase activity	2	0.03596
GO:0015129	lactate transmembrane transporter activity	4	0.03624
GO:0005248	voltage-gated sodium channel activity	9	0.03625
GO:0016462	pyrophosphatase activity	719	0.03652
GO:0005254	chloride channel activity	37	0.03654
GO:0070016	armadillo repeat domain binding	10	0.03712
GO:0071889	14-3-3 protein binding	29	0.03817
GO:0015250	water channel activity	6	0.03852
GO:0052732	phosphoethanolamine phosphatase activity	2	0.03865
GO:0008191	metalloendopeptidase inhibitor activity	11	0.03888
GO:0001786	phosphatidylserine binding	37	0.03962
GO:0048406	nerve growth factor binding	5	0.03984
GO:0046978	TAP1 binding	5	0.04032
GO:0015213	uridine transmembrane transporter activity	3	0.04041
GO:0097110	scaffold protein binding	52	0.04048
GO:0050510	N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity	3	0.04092
GO:0005094	Rho GDP-dissociation inhibitor activity	2	0.04138
GO:0004796	thromboxane-A synthase activity	2	0.04183
GO:0017124	SH3 domain binding	102	0.04237
GO:0005272	sodium channel activity	19	0.04358
GO:1990782	protein tyrosine kinase binding	79	0.04445
GO:0004923	leukemia inhibitory factor receptor activity	4	0.04471
GO:0004924	oncostatin-M receptor activity	4	0.04471
GO:0008289	lipid binding	550	0.04501
GO:0043394	proteoglycan binding	24	0.04571
GO:0015333	peptide:proton symporter activity	3	0.04600
GO:0071916	dipeptide transmembrane transporter activity	3	0.04600
GO:0030246	carbohydrate binding	134	0.04618
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	36	0.04636
GO:0015288	porin activity	5	0.04697
GO:0004908	interleukin-1 receptor activity	5	0.04793
GO:0002162	dystroglycan binding	11	0.04820
GO:0019841	retinol binding	6	0.04823
GO:0005035	death receptor activity	10	0.04833
GO:0015180	L-alanine transmembrane transporter activity	6	0.04887
GO:0019904	protein domain specific binding	564	0.04925
GO:0005044	scavenger receptor activity	23	0.04927
GO:0004741	[pyruvate dehydrogenase (lipoamide)] phosphatase activity	2	0.04928
GO:0005243	gap junction channel activity	10	0.04981
GO:0004672	protein kinase activity	463	0.04990
GO:0098821	BMP receptor activity	4	0.05039
GO:0004768	stearoyl-CoA 9-desaturase activity	3	0.05145
GO:0046703	natural killer cell lectin-like receptor binding	8	0.05203
GO:0004382	guanosine-diphosphatase activity	7	0.05204
GO:0045134	uridine-diphosphatase activity	7	0.05204
GO:0031625	ubiquitin protein ligase binding	266	0.05219
GO:0017017	MAP kinase tyrosine/serine/threonine phosphatase activity	10	0.05308
GO:0035325	Toll-like receptor binding	12	0.05471
GO:0042288	MHC class I protein binding	13	0.05474
GO:0015643	toxic substance binding	6	0.05636
GO:0004609	phosphatidylserine decarboxylase activity	2	0.05703
GO:0140338	sphingomyelin transfer activity	2	0.05740
GO:0052740	1-acyl-2-lysophosphatidylserine acylhydrolase activity	6	0.05755
GO:0043015	gamma-tubulin binding	28	0.05777
GO:0032357	oxidized purine DNA binding	8	0.05789
GO:0003785	actin monomer binding	18	0.05914
GO:0046790	virion binding	6	0.05929
GO:0044548	S100 protein binding	10	0.05977
GO:0008395	steroid hydroxylase activity	15	0.05988
GO:0005041	low-density lipoprotein particle receptor activity	10	0.05992
GO:0030229	very-low-density lipoprotein particle receptor activity	3	0.06036
GO:0047238	glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity	5	0.06051
GO:0005543	phospholipid binding	349	0.06053
GO:0047498	calcium-dependent phospholipase A2 activity	6	0.06092
GO:0005372	water transmembrane transporter activity	8	0.06093
GO:0017046	peptide hormone binding	18	0.06113
GO:0004720	protein-lysine 6-oxidase activity	4	0.06187
GO:0004726	non-membrane spanning protein tyrosine phosphatase activity	8	0.06271
GO:0032181	dinucleotide repeat insertion binding	2	0.06280
GO:0032027	myosin light chain binding	3	0.06342
GO:0097001	ceramide binding	15	0.06420
GO:0008449	N-acetylglucosamine-6-sulfatase activity	4	0.06475
GO:0102121	ceramidase activity	4	0.06539
GO:0030165	PDZ domain binding	61	0.06618
GO:0051393	alpha-actinin binding	14	0.06636
GO:1901480	oleate transmembrane transporter activity	4	0.06693
GO:0004450	isocitrate dehydrogenase (NADP+) activity	2	0.06766
GO:0051721	protein phosphatase 2A binding	25	0.06842
GO:0005242	inward rectifier potassium channel activity	9	0.06898
GO:0001875	lipopolysaccharide immune receptor activity	5	0.06920
GO:0005536	glucose binding	8	0.06924
GO:0034634	glutathione transmembrane transporter activity	4	0.06928
GO:0001094	TFIID-class transcription factor complex binding	10	0.06932
GO:0004715	non-membrane spanning protein tyrosine kinase activity	32	0.06933
GO:0005546	phosphatidylinositol-4,5-bisphosphate binding	60	0.07016
GO:0032050	clathrin heavy chain binding	8	0.07041
GO:0046982	protein heterodimerization activity	257	0.07076
GO:0048248	CXCR3 chemokine receptor binding	2	0.07129
GO:0019958	C-X-C chemokine binding	2	0.07204
GO:0031210	phosphatidylcholine binding	19	0.07261
GO:0004175	endopeptidase activity	250	0.07312
GO:0005452	inorganic anion exchanger activity	8	0.07320
GO:0102336	3-oxo-arachidoyl-CoA synthase activity	2	0.07390
GO:0005201	extracellular matrix structural constituent	94	0.07422
GO:0120146	sulfatide binding	5	0.07430
GO:0034186	apolipoprotein A-I binding	5	0.07430
GO:0034185	apolipoprotein binding	12	0.07440
GO:0048156	tau protein binding	38	0.07500
GO:0042056	chemoattractant activity	19	0.07504
GO:0071633	dihydroceramidase activity	2	0.07530
GO:0031821	G protein-coupled serotonin receptor binding	4	0.07658
GO:0140296	general transcription initiation factor binding	49	0.07745
GO:0047690	aspartyltransferase activity	3	0.07748
GO:0042903	tubulin deacetylase activity	2	0.07755
GO:0120225	coenzyme A binding	2	0.07771
GO:0005519	cytoskeletal regulatory protein binding	2	0.07961
GO:0004601	peroxidase activity	32	0.07966
GO:0031849	olfactory receptor binding	2	0.08043
GO:0042043	neurexin family protein binding	13	0.08059
GO:0005245	voltage-gated calcium channel activity	19	0.08063
GO:0015189	L-lysine transmembrane transporter activity	4	0.08079
GO:0035276	ethanol binding	2	0.08097
GO:0043426	MRF binding	5	0.08141
GO:0016746	transferase activity, transferring acyl groups	187	0.08187
GO:0042805	actinin binding	21	0.08221
GO:0050699	WW domain binding	26	0.08314
GO:0000825	inositol tetrakisphosphate 6-kinase activity	2	0.08315
GO:0003829	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity	3	0.08351
GO:0004535	poly(A)-specific ribonuclease activity	13	0.08391
GO:0008520	L-ascorbate:sodium symporter activity	2	0.08391
GO:0015229	L-ascorbic acid transmembrane transporter activity	2	0.08391
GO:0019956	chemokine binding	11	0.08537
GO:0015279	store-operated calcium channel activity	6	0.08616
GO:0004301	epoxide hydrolase activity	6	0.08626
GO:0005497	androgen binding	3	0.08628
GO:0003987	acetate-CoA ligase activity	3	0.08775
GO:0050218	propionate-CoA ligase activity	3	0.08775
GO:0010855	adenylate cyclase inhibitor activity	2	0.08866
GO:0045159	myosin II binding	10	0.08889
GO:0008273	calcium, potassium:sodium antiporter activity	2	0.08929
GO:0000064	L-ornithine transmembrane transporter activity	3	0.08944
GO:0061459	L-arginine transmembrane transporter activity	3	0.08944
GO:0015296	anion:cation symporter activity	10	0.09154
GO:0015280	ligand-gated sodium channel activity	7	0.09156
GO:0008526	phosphatidylinositol transfer activity	11	0.09158
GO:0062061	TAP complex binding	2	0.09164
GO:0047751	cholestenone 5-alpha-reductase activity	3	0.09166
GO:0042030	ATPase inhibitor activity	4	0.09205
GO:0004392	heme oxygenase (decyclizing) activity	2	0.09246
GO:0015108	chloride transmembrane transporter activity	47	0.09275
GO:0070513	death domain binding	10	0.09282
GO:0032405	MutLalpha complex binding	5	0.09307
GO:0001540	amyloid-beta binding	54	0.09311
GO:1990430	extracellular matrix protein binding	3	0.09323
GO:0042289	MHC class II protein binding	3	0.09326
GO:0045295	gamma-catenin binding	11	0.09352
GO:0046332	SMAD binding	67	0.09355
GO:0070840	dynein complex binding	22	0.09361
GO:0032143	single thymine insertion binding	2	0.09385
GO:0004513	neolactotetraosylceramide alpha-2,3-sialyltransferase activity	2	0.09395
GO:0031708	endothelin B receptor binding	2	0.09418
GO:1990825	sequence-specific mRNA binding	10	0.09461
GO:0004024	alcohol dehydrogenase activity, zinc-dependent	4	0.09474
GO:0050211	procollagen galactosyltransferase activity	2	0.09479
GO:0048029	monosaccharide binding	47	0.09525
GO:0004028	3-chloroallyl aldehyde dehydrogenase activity	3	0.09547
GO:0008467	[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity	4	0.09608
GO:0016208	AMP binding	13	0.09645
GO:0017080	sodium channel regulator activity	25	0.09667
GO:0005540	hyaluronic acid binding	9	0.09679
GO:0030346	protein phosphatase 2B binding	5	0.09709
GO:0019887	protein kinase regulator activity	175	0.09764
GO:0005280	amino acid:proton symporter activity	2	0.09846
GO:0005499	vitamin D binding	4	0.09906
GO:0015186	L-glutamine transmembrane transporter activity	7	0.09915
GO:0031434	mitogen-activated protein kinase kinase binding	10	0.09942
GO:0019842	vitamin binding	96	0.09956
GO:0030280	structural constituent of skin epidermis	6	0.09998
GO:0060002	plus-end directed microfilament motor activity	2	0.10041
GO:0043813	phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity	5	0.10070
GO:0004550	nucleoside diphosphate kinase activity	16	0.10071
GO:0010997	anaphase-promoting complex binding	9	0.10108
GO:0051117	ATPase binding	66	0.10137
GO:0047045	testosterone 17-beta-dehydrogenase (NADP+) activity	3	0.10139
GO:0035410	dihydrotestosterone 17-beta-dehydrogenase activity	3	0.10139
GO:0047144	2-acylglycerol-3-phosphate O-acyltransferase activity	9	0.10158
GO:0008331	high voltage-gated calcium channel activity	4	0.10163
GO:0004222	metalloendopeptidase activity	62	0.10282
GO:0048020	CCR chemokine receptor binding	12	0.10311
GO:0005096	GTPase activator activity	213	0.10375
GO:0019900	kinase binding	615	0.10439
GO:0003985	acetyl-CoA C-acetyltransferase activity	5	0.10497
GO:0008235	metalloexopeptidase activity	46	0.10499
GO:0004615	phosphomannomutase activity	2	0.10516
GO:0008475	procollagen-lysine 5-dioxygenase activity	3	0.10518
GO:1990003	inosine-diphosphatase activity	2	0.10531
GO:0005522	profilin binding	10	0.10545
GO:0070330	aromatase activity	11	0.10547
GO:0019902	phosphatase binding	163	0.10623
GO:0033691	sialic acid binding	3	0.10633
GO:0004947	bradykinin receptor activity	2	0.10644
GO:0016209	antioxidant activity	56	0.10898
GO:0015106	bicarbonate transmembrane transporter activity	14	0.10964
GO:0017166	vinculin binding	11	0.11010
GO:1904121	phosphatidylethanolamine transfer activity	2	0.11141
GO:0005384	manganese ion transmembrane transporter activity	5	0.11207
GO:0015433	ABC-type peptide antigen transporter activity	4	0.11213
GO:0004367	glycerol-3-phosphate dehydrogenase [NAD+] activity	2	0.11258
GO:0044594	17-beta-hydroxysteroid dehydrogenase (NAD+) activity	11	0.11324
GO:0004540	ribonuclease activity	96	0.11327
GO:0045182	translation regulator activity	130	0.11335
GO:0047617	acyl-CoA hydrolase activity	15	0.11381
GO:0051018	protein kinase A binding	39	0.11486
GO:0042813	Wnt-activated receptor activity	13	0.11520
GO:0046935	1-phosphatidylinositol-3-kinase regulator activity	10	0.11525
GO:0005176	ErbB-2 class receptor binding	4	0.11549
GO:0035256	G protein-coupled glutamate receptor binding	9	0.11589
GO:0102337	3-oxo-cerotoyl-CoA synthase activity	2	0.11644
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	11	0.11675
GO:0098919	structural constituent of postsynaptic density	5	0.11705
GO:0015211	purine nucleoside transmembrane transporter activity	2	0.11777
GO:0032453	histone demethylase activity (H3-K4 specific)	8	0.11927
GO:0051082	unfolded protein binding	97	0.12064
GO:0033188	sphingomyelin synthase activity	3	0.12150
GO:0002950	ceramide phosphoethanolamine synthase activity	3	0.12150
GO:0047493	ceramide cholinephosphotransferase activity	3	0.12150
GO:0004704	NF-kappaB-inducing kinase activity	5	0.12176
GO:0052650	NADP-retinol dehydrogenase activity	10	0.12213
GO:0004984	olfactory receptor activity	6	0.12213
GO:0016361	activin receptor activity, type I	3	0.12260
GO:0004890	GABA-A receptor activity	3	0.12281
GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity	2	0.12291
GO:0019002	GMP binding	2	0.12366
GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	97	0.12378
GO:0008240	tripeptidyl-peptidase activity	3	0.12380
GO:0043237	laminin-1 binding	3	0.12408
GO:0034189	very-low-density lipoprotein particle binding	4	0.12499
GO:1903136	cuprous ion binding	7	0.12500
GO:0015459	potassium channel regulator activity	33	0.12525
GO:0071532	ankyrin repeat binding	5	0.12568
GO:0004065	arylsulfatase activity	10	0.12575
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	64	0.12594
GO:0015226	carnitine transmembrane transporter activity	3	0.12741
GO:0005549	odorant binding	3	0.12810
GO:0015647	peptidoglycan transmembrane transporter activity	2	0.12840
GO:0008559	ABC-type xenobiotic transporter activity	9	0.12863
GO:0004784	superoxide dismutase activity	3	0.12970
GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	2	0.13037
GO:0005244	voltage-gated ion channel activity	75	0.13089
GO:0005246	calcium channel regulator activity	27	0.13114
GO:0045294	alpha-catenin binding	11	0.13149
GO:0008179	adenylate cyclase binding	9	0.13170
GO:0002114	interleukin-33 receptor activity	2	0.13200
GO:0009383	rRNA (cytosine-C5-)-methyltransferase activity	2	0.13230
GO:0019871	sodium channel inhibitor activity	5	0.13237
GO:0016655	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	53	0.13331
GO:0005048	signal sequence binding	41	0.13422
GO:0008097	5S rRNA binding	10	0.13460
GO:0004687	myosin light chain kinase activity	3	0.13478
GO:0050897	cobalt ion binding	4	0.13516
GO:0015432	ABC-type bile acid transporter activity	3	0.13538
GO:0106325	acetylgalactosaminyl-O-glycosyl-seryl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity	1	0.13553
GO:0106326	acetylgalactosaminyl-O-glycosyl-threonyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity	1	0.13553
GO:0004421	hydroxymethylglutaryl-CoA synthase activity	1	0.13558
GO:0004163	diphosphomevalonate decarboxylase activity	1	0.13579
GO:0000250	lanosterol synthase activity	1	0.13623
GO:0042300	beta-amyrin synthase activity	1	0.13623
GO:0009918	sterol delta7 reductase activity	1	0.13632
GO:0047598	7-dehydrocholesterol reductase activity	1	0.13632
GO:0008900	potassium:proton exchanging ATPase activity	1	0.13645
GO:0001010	RNA polymerase II sequence-specific DNA-binding transcription factor recruiting activity	1	0.13672
GO:0008381	mechanosensitive ion channel activity	10	0.13682
GO:0008106	alcohol dehydrogenase (NADP+) activity	15	0.13685
GO:0004310	farnesyl-diphosphate farnesyltransferase activity	1	0.13689
GO:0051996	squalene synthase activity	1	0.13689
GO:0043532	angiostatin binding	4	0.13691
GO:0004648	O-phospho-L-serine:2-oxoglutarate aminotransferase activity	1	0.13702
GO:0004506	squalene monooxygenase activity	1	0.13707
GO:0052630	UDP-N-acetylgalactosamine diphosphorylase activity	1	0.13716
GO:0004420	hydroxymethylglutaryl-CoA reductase (NADPH) activity	1	0.13747
GO:0016918	retinal binding	6	0.13758
GO:0022858	alanine transmembrane transporter activity	9	0.13771
GO:0004820	glycine-tRNA ligase activity	1	0.13777
GO:0045485	omega-6 fatty acid desaturase activity	1	0.13782
GO:0062076	acyl-CoA delta5-desaturase activity	1	0.13782
GO:0005229	intracellular calcium activated chloride channel activity	11	0.13784
GO:0097079	selenite:proton symporter activity	1	0.13795
GO:0140412	zinc:bicarbonate symporter activity	1	0.13795
GO:0003830	beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity	1	0.13813
GO:0051978	lysophospholipid:sodium symporter activity	1	0.13826
GO:0140348	lysophosphatidylcholine flippase activity	1	0.13826
GO:0005159	insulin-like growth factor receptor binding	11	0.13835
GO:0004452	isopentenyl-diphosphate delta-isomerase activity	1	0.13888
GO:0003878	ATP citrate synthase activity	1	0.13893
GO:0003835	beta-galactoside alpha-2,6-sialyltransferase activity	1	0.13897
GO:0019966	interleukin-1 binding	6	0.13900
GO:0008511	sodium:potassium:chloride symporter activity	1	0.13902
GO:0050833	pyruvate transmembrane transporter activity	3	0.13919
GO:0015327	cystine:glutamate antiporter activity	1	0.13929
GO:0061809	NAD+ nucleotidase, cyclic ADP-ribose generating	10	0.14033
GO:0050135	NAD(P)+ nucleosidase activity	10	0.14033
GO:0010348	lithium:proton antiporter activity	1	0.14045
GO:0072570	ADP-D-ribose binding	1	0.14067
GO:0050512	lactosylceramide 4-alpha-galactosyltransferase activity	1	0.14076
GO:0046623	sphingolipid floppase activity	2	0.14090
GO:0140439	protein-cysteine S-stearoyltransferase activity	6	0.14128
GO:0034190	apolipoprotein receptor binding	4	0.14171
GO:0030547	receptor inhibitor activity	15	0.14172
GO:0050046	lathosterol oxidase activity	1	0.14189
GO:0070064	proline-rich region binding	18	0.14205
GO:0016416	O-palmitoyltransferase activity	3	0.14207
GO:0047173	phosphatidylcholine-retinol O-acyltransferase activity	1	0.14212
GO:0102279	lecithin:11-cis retinol acyltransferase activity	1	0.14212
GO:0030377	urokinase plasminogen activator receptor activity	1	0.14230
GO:0030160	synaptic receptor adaptor activity	2	0.14235
GO:0016849	phosphorus-oxygen lyase activity	10	0.14235
GO:0051010	microtubule plus-end binding	20	0.14261
GO:0008336	gamma-butyrobetaine dioxygenase activity	1	0.14262
GO:0047012	sterol-4-alpha-carboxylate 3-dehydrogenase (decarboxylating) activity	1	0.14293
GO:0103066	4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol:NAD(P)+ 3-oxidoreductase (decarboxylating) activity	1	0.14293
