GO.ID	Term	Annotated	Raw.P.Value
GO:0005641	nuclear envelope lumen	8	0.03799
GO:0002133	polycystin complex	2	0.03827
GO:0045335	phagocytic vesicle	113	0.03899
GO:0097386	glial cell projection	21	0.03928
GO:1905103	integral component of lysosomal membrane	9	0.03999
GO:0036501	UFD1-NPL4 complex	2	0.04033
GO:0030014	CCR4-NOT complex	16	0.04039
GO:0042995	cell projection	1605	0.04061
GO:0034066	Ric1-Rgp1 guanyl-nucleotide exchange factor complex	2	0.04144
GO:0036449	microtubule minus-end	7	0.04163
GO:0031045	dense core granule	11	0.04182
GO:0032809	neuronal cell body membrane	10	0.04196
GO:0045202	synapse	819	0.04242
GO:0036019	endolysosome	21	0.04263
GO:0008541	proteasome regulatory particle, lid subcomplex	8	0.04275
GO:0070382	exocytic vesicle	134	0.04361
GO:0005884	actin filament	89	0.04375
GO:0032010	phagolysosome	3	0.04406
GO:0098794	postsynapse	379	0.04418
GO:0000407	phagophore assembly site	32	0.04437
GO:0035579	specific granule membrane	60	0.04485
GO:0005741	mitochondrial outer membrane	178	0.04606
GO:0043292	contractile fiber	141	0.04838
GO:0044393	microspike	3	0.04962
GO:0014069	postsynaptic density	221	0.05138
GO:0097208	alveolar lamellar body	4	0.05190
GO:0043209	myelin sheath	35	0.05217
GO:0031982	vesicle	2882	0.05268
GO:0097449	astrocyte projection	9	0.05350
GO:0034702	ion channel complex	131	0.05484
GO:0034673	inhibin-betaglycan-ActRII complex	2	0.05490
GO:0043020	NADPH oxidase complex	7	0.05512
GO:0098793	presynapse	296	0.05590
GO:0097524	sperm plasma membrane	4	0.05681
GO:0042383	sarcolemma	82	0.05728
GO:0098688	parallel fiber to Purkinje cell synapse	5	0.05841
GO:0044232	organelle membrane contact site	38	0.05842
GO:0071565	nBAF complex	12	0.05875
GO:1990316	Atg1/ULK1 kinase complex	8	0.05880
GO:0072562	blood microparticle	50	0.05883
GO:0019867	outer membrane	201	0.05886
GO:0005587	collagen type IV trimer	4	0.05977
GO:0005901	caveola	57	0.06060
GO:0031093	platelet alpha granule lumen	41	0.06072
GO:0046581	intercellular canaliculus	6	0.06083
GO:0090498	extrinsic component of Golgi membrane	3	0.06085
GO:0002095	caveolar macromolecular signaling complex	2	0.06188
GO:0097575	lateral cell cortex	2	0.06195
GO:0030173	integral component of Golgi membrane	55	0.06203
GO:0030018	Z disc	76	0.06208
GO:0005871	kinesin complex	40	0.06329
GO:0031301	integral component of organelle membrane	324	0.06333
GO:0016327	apicolateral plasma membrane	19	0.06334
GO:0002142	stereocilia ankle link complex	5	0.06378
GO:0032590	dendrite membrane	15	0.06399
GO:0099147	extrinsic component of postsynaptic density membrane	3	0.06418
GO:0005813	centrosome	558	0.06473
GO:0001533	cornified envelope	31	0.06580
GO:0030658	transport vesicle membrane	143	0.06740
GO:0005754	mitochondrial proton-transporting ATP synthase, catalytic core	2	0.06808
GO:0030136	clathrin-coated vesicle	146	0.06944
GO:0005833	hemoglobin complex	2	0.06950
GO:0005577	fibrinogen complex	4	0.06988
GO:0044530	supraspliceosomal complex	3	0.06993
GO:0005581	collagen trimer	37	0.07008
GO:0005827	polar microtubule	5	0.07012
GO:0032391	photoreceptor connecting cilium	35	0.07109
GO:0045180	basal cortex	5	0.07185
GO:0032420	stereocilium	32	0.07219
GO:0045179	apical cortex	4	0.07226
GO:0005608	laminin-3 complex	2	0.07298
GO:0032585	multivesicular body membrane	11	0.07373
GO:0042470	melanosome	94	0.07381
GO:1990184	amino acid transport complex	2	0.07401
GO:0005815	microtubule organizing center	734	0.07486
GO:0001725	stress fiber	58	0.07546
GO:0031253	cell projection membrane	239	0.07850
GO:0097440	apical dendrite	11	0.07941
GO:0005782	peroxisomal matrix	37	0.08068
GO:0099055	integral component of postsynaptic membrane	44	0.08072
GO:1990565	HSP90-CDC37 chaperone complex	2	0.08138
GO:0032783	super elongation complex	4	0.08146
GO:0005607	laminin-2 complex	2	0.08192
GO:0001669	acrosomal vesicle	70	0.08453
GO:0042589	zymogen granule membrane	7	0.08482
GO:0005614	interstitial matrix	8	0.08587
GO:0005930	axoneme	119	0.08632
GO:0071914	prominosome	2	0.08803
GO:0031090	organelle membrane	2866	0.08963
GO:0005890	sodium:potassium-exchanging ATPase complex	3	0.09099
GO:0016529	sarcoplasmic reticulum	47	0.09104
GO:0031519	PcG protein complex	42	0.09107
GO:0055037	recycling endosome	170	0.09212
GO:0030991	intraciliary transport particle A	7	0.09260
GO:0097209	epidermal lamellar body	3	0.09340
GO:0005954	calcium- and calmodulin-dependent protein kinase complex	2	0.09352
GO:0031232	extrinsic component of external side of plasma membrane	6	0.09409
GO:0046930	pore complex	19	0.09449
GO:0034687	integrin alphaL-beta2 complex	2	0.09478
GO:0005829	cytosol	4426	0.09510
GO:0005811	lipid droplet	86	0.09562
GO:0070821	tertiary granule membrane	42	0.09577
GO:0097224	sperm connecting piece	9	0.09581
GO:0032127	dense core granule membrane	4	0.09665
GO:0099091	postsynaptic specialization, intracellular component	11	0.09716
GO:0032591	dendritic spine membrane	8	0.09830
GO:0005869	dynactin complex	8	0.09927
GO:0072557	IPAF inflammasome complex	2	0.09933
GO:0032433	filopodium tip	13	0.09965
GO:0001772	immunological synapse	28	0.09993
GO:0042641	actomyosin	66	0.09995
GO:0098993	anchored component of synaptic vesicle membrane	9	0.10093
GO:0030175	filopodium	82	0.10215
GO:0097197	tetraspanin-enriched microdomain	8	0.10247
GO:0044753	amphisome	2	0.10700
GO:0034362	low-density lipoprotein particle	4	0.10721
GO:0035003	subapical complex	2	0.10736
GO:0032432	actin filament bundle	64	0.10757
GO:1990617	CHOP-ATF4 complex	2	0.10840
GO:0019898	extrinsic component of membrane	208	0.10846
GO:0098992	neuronal dense core vesicle	5	0.10897
GO:0033270	paranode region of axon	5	0.10926
GO:0005874	microtubule	367	0.10927
GO:0002116	semaphorin receptor complex	10	0.10927
GO:0030139	endocytic vesicle	247	0.11040
GO:0032280	symmetric synapse	6	0.11045
GO:0032421	stereocilium bundle	38	0.11194
GO:0034683	integrin alphav-beta3 complex	2	0.11216
GO:0097452	GAIT complex	4	0.11349
GO:0005635	nuclear envelope	399	0.11358
GO:0036157	outer dynein arm	7	0.11414
GO:0036502	Derlin-1-VIMP complex	2	0.11437
GO:1990696	USH2 complex	3	0.11470
GO:0030867	rough endoplasmic reticulum membrane	25	0.11532
GO:0034704	calcium channel complex	36	0.11596
GO:0030863	cortical cytoskeleton	85	0.11654
GO:0031901	early endosome membrane	138	0.11696
GO:0012505	endomembrane system	3465	0.11705
GO:0031905	early endosome lumen	3	0.11774
GO:0097342	ripoptosome	6	0.11828
GO:0031265	CD95 death-inducing signaling complex	6	0.11828
GO:0070522	ERCC4-ERCC1 complex	4	0.11893
GO:0034707	chloride channel complex	21	0.12043
GO:0005885	Arp2/3 protein complex	9	0.12143
GO:0016035	zeta DNA polymerase complex	4	0.12173
GO:0031380	nuclear RNA-directed RNA polymerase complex	2	0.12217
GO:0031527	filopodium membrane	14	0.12298
GO:0005765	lysosomal membrane	344	0.12342
GO:0099738	cell cortex region	32	0.12427
GO:0043204	perikaryon	80	0.12474
GO:1903958	nitric-oxide synthase complex	3	0.12541
GO:0015629	actin cytoskeleton	380	0.12627
GO:0032937	SREBP-SCAP-Insig complex	3	0.12663
GO:0098797	plasma membrane protein complex	304	0.12670
GO:0090537	CERF complex	2	0.12799
GO:0101004	cytolytic granule membrane	2	0.12853
GO:0090724	central region of growth cone	4	0.12857
GO:0035686	sperm fibrous sheath	5	0.12868
GO:0016514	SWI/SNF complex	22	0.12876
GO:0045171	intercellular bridge	63	0.12878
GO:0044224	juxtaparanode region of axon	6	0.12959
GO:0033010	paranodal junction	6	0.12959
GO:0035748	myelin sheath abaxonal region	6	0.13032
GO:0030669	clathrin-coated endocytic vesicle membrane	48	0.13187
GO:0005891	voltage-gated calcium channel complex	17	0.13329
GO:0030056	hemidesmosome	6	0.13399
GO:0030478	actin cap	4	0.13420
GO:0098686	hippocampal mossy fiber to CA3 synapse	23	0.13511
GO:0045178	basal part of cell	190	0.13545
GO:0000785	chromatin	824	0.13553
GO:0043679	axon terminus	54	0.13572
GO:0005889	potassium:proton exchanging ATPase complex	1	0.13641
GO:0031592	centrosomal corona	1	0.13755
GO:0098574	cytoplasmic side of lysosomal membrane	5	0.13785
GO:0012506	vesicle membrane	577	0.13840
GO:0044298	cell body membrane	11	0.13858
GO:0034399	nuclear periphery	118	0.13860
GO:0061851	leading edge of lamellipodium	2	0.13924
GO:0044295	axonal growth cone	20	0.14017
GO:0030054	cell junction	1427	0.14031
GO:0071944	cell periphery	3378	0.14062
GO:0001674	female germ cell nucleus	3	0.14221
GO:0098966	perisynaptic extracellular matrix	2	0.14239
GO:0030122	AP-2 adaptor complex	7	0.14281
GO:0033165	interphotoreceptor matrix	2	0.14281
GO:0097180	serine protease inhibitor complex	1	0.14289
GO:0045211	postsynaptic membrane	129	0.14301
GO:0016459	myosin complex	29	0.14323
GO:0005751	mitochondrial respiratory chain complex IV	15	0.14440
GO:0005921	gap junction	14	0.14775
GO:0060203	clathrin-sculpted glutamate transport vesicle membrane	2	0.14875
GO:0070083	clathrin-sculpted monoamine transport vesicle membrane	2	0.14875
GO:0060342	photoreceptor inner segment membrane	1	0.14946
GO:0097444	spine apparatus	1	0.14979
GO:0098888	extrinsic component of presynaptic membrane	2	0.15144
GO:0031262	Ndc80 complex	2	0.15169
GO:0032302	MutSbeta complex	2	0.15216
GO:0031362	anchored component of external side of plasma membrane	8	0.15303
GO:0030126	COPI vesicle coat	13	0.15452
GO:0044853	plasma membrane raft	74	0.15472
GO:0098796	membrane protein complex	825	0.15480
GO:1990037	Lewy body core	3	0.15508
GO:0044194	cytolytic granule	7	0.15634
GO:0042587	glycogen granule	7	0.15678
GO:0001527	microfibril	8	0.15706
GO:0043194	axon initial segment	12	0.15808
GO:0030118	clathrin coat	42	0.15877
GO:1905286	serine-type peptidase complex	2	0.15889
GO:0030289	protein phosphatase 4 complex	4	0.16019
GO:0097486	multivesicular body lumen	1	0.16046
GO:0045177	apical part of cell	292	0.16100
GO:0042568	insulin-like growth factor binary complex	1	0.16116
GO:0031088	platelet dense granule membrane	6	0.16171
GO:0045254	pyruvate dehydrogenase complex	7	0.16253
GO:0016528	sarcoplasm	52	0.16391
GO:0097730	non-motile cilium	98	0.16699
GO:0005915	zonula adherens	9	0.16711
GO:1990590	ATF1-ATF4 transcription factor complex	2	0.16730
GO:0016363	nuclear matrix	99	0.16778
GO:0097418	neurofibrillary tangle	2	0.16846
GO:0070381	endosome to plasma membrane transport vesicle	2	0.16846
GO:0001750	photoreceptor outer segment	43	0.16849
GO:0005965	protein farnesyltransferase complex	2	0.16911
GO:0030055	cell-substrate junction	380	0.16951
GO:0098674	extrinsic component of neuronal dense core vesicle membrane	1	0.16992
GO:0097542	ciliary tip	44	0.17140
GO:0042825	TAP complex	2	0.17292
GO:0099025	anchored component of postsynaptic membrane	4	0.17341
GO:0031300	intrinsic component of organelle membrane	349	0.17499
GO:0044225	apical pole of neuron	1	0.17519
GO:1902711	GABA-A receptor complex	3	0.17576
GO:0036488	CHOP-C/EBP complex	2	0.17597
GO:0046691	intracellular canaliculus	1	0.17630
GO:0031224	intrinsic component of membrane	3252	0.17687
GO:0055028	cortical microtubule	3	0.17710
GO:1905720	cytoplasmic microtubule bundle	1	0.17715
GO:0030141	secretory granule	576	0.17870
GO:0034668	integrin alpha4-beta1 complex	1	0.17934
GO:0034680	integrin alpha10-beta1 complex	1	0.17934
GO:0034681	integrin alpha11-beta1 complex	1	0.17934
GO:0034677	integrin alpha7-beta1 complex	1	0.17934
GO:0034678	integrin alpha8-beta1 complex	1	0.17934
GO:0034752	cytosolic aryl hydrocarbon receptor complex	1	0.17972
GO:0030892	mitotic cohesin complex	4	0.17989
GO:0071575	integral component of external side of plasma membrane	1	0.18036
GO:0031089	platelet dense granule lumen	7	0.18079
GO:0035371	microtubule plus-end	23	0.18080
GO:0048179	activin receptor complex	5	0.18249
GO:0030131	clathrin adaptor complex	23	0.18417
GO:0005903	brush border	72	0.18437
GO:0030286	dynein complex	49	0.18562
GO:0032983	kainate selective glutamate receptor complex	1	0.18669
GO:0005595	collagen type XII trimer	1	0.18691
GO:0097513	myosin II filament	3	0.18806
GO:0031941	filamentous actin	22	0.18851
GO:1990701	integral component of endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane	1	0.18857
GO:0031303	integral component of endosome membrane	2	0.18934
GO:0071133	alpha9-beta1 integrin-ADAM8 complex	1	0.18979
GO:0005952	cAMP-dependent protein kinase complex	8	0.19022
GO:0090636	outer dense plaque of desmosome	1	0.19052
GO:0090637	inner dense plaque of desmosome	1	0.19052
GO:0044291	cell-cell contact zone	52	0.19147
GO:0060170	ciliary membrane	50	0.19154
GO:0032798	Swi5-Sfr1 complex	1	0.19260
GO:0071751	secretory IgA immunoglobulin complex	1	0.19396
GO:0043512	inhibin A complex	1	0.19418
GO:0043509	activin A complex	1	0.19418
GO:0097413	Lewy body	8	0.19441
GO:0150051	postsynaptic Golgi apparatus	1	0.19481
GO:0097487	multivesicular body, internal vesicle	4	0.19488
GO:0008352	katanin complex	1	0.19526
GO:0044326	dendritic spine neck	4	0.19541
GO:0044327	dendritic spine head	4	0.19541
GO:0031306	intrinsic component of mitochondrial outer membrane	22	0.19761
GO:0034451	centriolar satellite	92	0.19789
GO:0034464	BBSome	7	0.19824
GO:1990030	pericellular basket	1	0.19928
GO:1903143	adrenomedullin receptor complex	1	0.19939
GO:0005589	collagen type VI trimer	1	0.20067
GO:0005858	axonemal dynein complex	19	0.20094
GO:0043219	lateral loop	4	0.20105
GO:0043033	isoamylase complex	1	0.20119
GO:0005776	autophagosome	86	0.20149
GO:0140552	TEAD-YAP complex	3	0.20195
GO:0061617	MICOS complex	9	0.20203
GO:1902554	serine/threonine protein kinase complex	80	0.20220
GO:1990391	DNA repair complex	35	0.20286
GO:0035658	Mon1-Ccz1 complex	5	0.20302
GO:0090533	cation-transporting ATPase complex	4	0.20337
GO:0031673	H zone	1	0.20382
GO:1990742	microvesicle	2	0.20476
GO:0000172	ribonuclease MRP complex	9	0.20555
GO:0070032	synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex	2	0.20574
GO:0070033	synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex	2	0.20574
GO:0090575	RNA polymerase II transcription regulator complex	145	0.20596
GO:0000806	Y chromosome	2	0.20733
GO:0097134	cyclin E1-CDK2 complex	2	0.20741
GO:0016507	mitochondrial fatty acid beta-oxidation multienzyme complex	1	0.20914
GO:1990682	CSF1-CSF1R complex	1	0.20944
GO:0032279	asymmetric synapse	224	0.21101
GO:0043218	compact myelin	11	0.21183
GO:0005861	troponin complex	3	0.21184
GO:0035632	mitochondrial prohibitin complex	2	0.21326
GO:0099699	integral component of synaptic membrane	60	0.21411
GO:0005750	mitochondrial respiratory chain complex III	14	0.21475
GO:0005777	peroxisome	116	0.21536
GO:0099056	integral component of presynaptic membrane	29	0.21725
GO:0031371	ubiquitin conjugating enzyme complex	8	0.21730
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	10	0.21851
GO:0032153	cell division site	62	0.21963
GO:0044292	dendrite terminus	11	0.21982
GO:0033565	ESCRT-0 complex	3	0.22057
GO:0034423	autophagosome lumen	1	0.22138
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	919	0.22171
GO:0033162	melanosome membrane	12	0.22367
GO:0001518	voltage-gated sodium channel complex	5	0.22411
GO:0034685	integrin alphav-beta6 complex	2	0.22484
GO:1990917	ooplasm	1	0.22518
GO:0030914	STAGA complex	2	0.22529
GO:0031105	septin complex	8	0.22583
GO:0005940	septin ring	8	0.22583
GO:0042599	lamellar body	9	0.22624
GO:0030893	meiotic cohesin complex	4	0.22703
GO:0005851	eukaryotic translation initiation factor 2B complex	6	0.22753
GO:0032419	extrinsic component of lysosome membrane	1	0.22789
GO:0016938	kinesin I complex	1	0.22954
GO:0070160	tight junction	106	0.23013
GO:0099400	caveola neck	1	0.23145
GO:0032473	cytoplasmic side of mitochondrial outer membrane	1	0.23145
GO:0034045	phagophore assembly site membrane	15	0.23211
GO:0098837	postsynaptic recycling endosome	6	0.23226
GO:0043190	ATP-binding cassette (ABC) transporter complex	3	0.23235
GO:0034689	integrin alphaX-beta2 complex	1	0.23395
GO:0030117	membrane coat	88	0.23418
GO:0097135	cyclin E2-CDK2 complex	1	0.23421
GO:0099568	cytoplasmic region	224	0.23434
GO:0120200	rod photoreceptor outer segment	2	0.23437
GO:0016513	core-binding factor complex	2	0.23601
GO:0030425	dendrite	389	0.23638
GO:0031235	intrinsic component of the cytoplasmic side of the plasma membrane	6	0.23644
GO:0030315	T-tubule	30	0.23645
GO:0071065	alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex	1	0.23738
GO:0000159	protein phosphatase type 2A complex	16	0.23781
GO:0099524	postsynaptic cytosol	11	0.23942
GO:0099634	postsynaptic specialization membrane	52	0.23961
GO:1990794	basolateral part of cell	2	0.23997
GO:1905368	peptidase complex	95	0.24029
GO:0097454	Schwann cell microvillus	1	0.24143
GO:0005672	transcription factor TFIIA complex	4	0.24207
GO:0016011	dystroglycan complex	3	0.24408
GO:0033018	sarcoplasmic reticulum lumen	6	0.24448
GO:0008074	guanylate cyclase complex, soluble	2	0.24528
GO:0005898	interleukin-13 receptor complex	1	0.24632
GO:0005964	phosphorylase kinase complex	5	0.24827
GO:0014731	spectrin-associated cytoskeleton	6	0.24837
GO:0000307	cyclin-dependent protein kinase holoenzyme complex	41	0.24904
GO:0000421	autophagosome membrane	35	0.24973
GO:0005597	collagen type XVI trimer	1	0.24993
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	4	0.25005
GO:1990423	RZZ complex	3	0.25078
GO:0034271	phosphatidylinositol 3-kinase complex, class III, type I	3	0.25230
GO:0034272	phosphatidylinositol 3-kinase complex, class III, type II	3	0.25230
GO:0005839	proteasome core complex	18	0.25520
GO:0035327	transcriptionally active chromatin	21	0.25622
GO:0005882	intermediate filament	65	0.25712
GO:0044306	neuron projection terminus	65	0.25900
GO:0043202	lysosomal lumen	72	0.25935
GO:1990357	terminal web	4	0.25970
GO:0070195	growth hormone receptor complex	1	0.26048
GO:0099066	integral component of neuronal dense core vesicle membrane	1	0.26061
GO:0035985	senescence-associated heterochromatin focus	4	0.26080
GO:0042719	mitochondrial intermembrane space protein transporter complex	5	0.26153
GO:0017101	aminoacyl-tRNA synthetase multienzyme complex	11	0.26179
GO:0042765	GPI-anchor transamidase complex	5	0.26355
GO:0031838	haptoglobin-hemoglobin complex	1	0.26366
GO:1990712	HFE-transferrin receptor complex	6	0.26445
GO:0042022	interleukin-12 receptor complex	1	0.26505
GO:0072536	interleukin-23 receptor complex	1	0.26505
GO:0120199	cone photoreceptor outer segment	1	0.26652
GO:0031095	platelet dense tubular network membrane	7	0.26654
GO:0009330	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex	1	0.26708
GO:0043229	intracellular organelle	9712	0.26746
GO:0030176	integral component of endoplasmic reticulum membrane	144	0.26832
GO:1990454	L-type voltage-gated calcium channel complex	5	0.26851
GO:0035355	Toll-like receptor 2-Toll-like receptor 6 protein complex	1	0.26946
GO:0097225	sperm midpiece	23	0.27008
GO:0030670	phagocytic vesicle membrane	67	0.27061
GO:0032437	cuticular plate	5	0.27202
GO:0005667	transcription regulator complex	326	0.27214
GO:0030992	intraciliary transport particle B	18	0.27260
GO:0036064	ciliary basal body	154	0.27307
GO:0034366	spherical high-density lipoprotein particle	1	0.27321
GO:0099020	perinuclear endoplasmic reticulum lumen	1	0.27321
GO:0090443	FAR/SIN/STRIPAK complex	4	0.27341
GO:0098981	cholinergic synapse	4	0.27384
GO:0030017	sarcomere	119	0.27394
GO:0120001	apical plasma membrane urothelial plaque	1	0.27492
GO:0031461	cullin-RING ubiquitin ligase complex	163	0.27564
GO:0072534	perineuronal net	1	0.27585
GO:0005753	mitochondrial proton-transporting ATP synthase complex	20	0.27963
GO:0034515	proteasome storage granule	2	0.27983
GO:0097546	ciliary base	35	0.27999
GO:0005942	phosphatidylinositol 3-kinase complex	22	0.28093
GO:1990075	periciliary membrane compartment	6	0.28095
GO:0043196	varicosity	3	0.28100
GO:0009361	succinate-CoA ligase complex (ADP-forming)	1	0.28218
GO:0016593	Cdc73/Paf1 complex	8	0.28345
GO:0005606	laminin-1 complex	3	0.28477
GO:0098830	presynaptic endosome	1	0.28479
GO:0070695	FHF complex	5	0.28568
GO:0098562	cytoplasmic side of membrane	135	0.28596
GO:0043257	laminin-8 complex	1	0.28625
GO:0042101	T cell receptor complex	7	0.29248
GO:0120044	stereocilium base	3	0.29356
GO:0031985	Golgi cisterna	89	0.29436
GO:0036156	inner dynein arm	5	0.29454
GO:0097228	sperm principal piece	18	0.29480
GO:0044228	host cell surface	1	0.29487
GO:0005846	nuclear cap binding complex	3	0.29742
GO:0032009	early phagosome	8	0.29753
GO:0016460	myosin II complex	8	0.29774
GO:0033179	proton-transporting V-type ATPase, V0 domain	8	0.29873
GO:0032002	interleukin-28 receptor complex	1	0.29898
GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex	7	0.29980
GO:0030681	multimeric ribonuclease P complex	9	0.30006
GO:0097013	phagocytic vesicle lumen	2	0.30013
GO:0000145	exocyst	13	0.30046
GO:0098839	postsynaptic density membrane	41	0.30079
GO:0090725	peripheral region of growth cone	1	0.30206
GO:0061474	phagolysosome membrane	1	0.30221
GO:0048788	cytoskeleton of presynaptic active zone	5	0.30275
GO:0072546	EMC complex	10	0.30352
GO:0005731	nucleolus organizer region	1	0.30433
GO:0031902	late endosome membrane	124	0.30718
GO:0071682	endocytic vesicle lumen	12	0.30792
GO:0032587	ruffle membrane	84	0.30893
GO:0045239	tricarboxylic acid cycle enzyme complex	12	0.30986
